"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BT1","1","6-12V","","","","AutoWater:Connector 5.5x2.1 DS-201",""
"BT2","1","CR2032","","","","AutoWater:Batary box CR2032","https://www.chipdip.ru/product/l-kls5-cr2032-11-panel-bat-2032-bth-v47-20-kls-8040391090"
"C1","1","100 nF","","","","AutoWater:Capacitor Murata SMD 0402","https://www.chipdip.ru/product/0.1-mkf-x7r-25v-10-0402-grm155r71e104ke14d-murata-9000295904"
"C2,C3","2","10 mkF","","","","AutoWater:Capacitor Murata SMD 0603","https://www.chipdip.ru/product/10-mkf-x5r-25v-0603-grm188r61e106ka73d-kondensator-murata-9000600378"
"C4","1","0.1 mkF","","","","AutoWater:Capacitor Murata SMD 0402","https://www.chipdip.ru/product/0.1-mkf-x7r-25v-10-0402-grm155r71e104ke14d-murata-9000295904"
"D1","1","1N4001G","","","","AutoWater:DIode 1N4001G THT min","https://www.chipdip.ru/product/1n4001g-on-semiconductor-8002986002"
"D2","1","green","","","","AutoWater:LED 3mm","https://www.chipdip.ru/product/gnl-3014gd-svetodiod-zelenyy-60-d-3mm-30-50mkd-565nm-g-nor-9000422961"
"D3,D4,D7","3","red","","","","AutoWater:LED 3mm","https://www.chipdip.ru/product/gnl-3014hd-svetodiod-krasnyy-60-d-3mm-5-10mkd-700nm-g-nor-9000422960"
"D5,D6,D8","3","yellow","","","","AutoWater:LED 3mm","https://www.chipdip.ru/product/gnl-3014yd-svetodiod-zheltyy-60-d-3mm-15mkd-585nm-g-nor-9000422962"
"D9","1","orange","","","","AutoWater:LED 3mm","https://www.chipdip.ru/product/gnl-3014uec-svetodiod-oranzhevyy-25-d-3mm-150mkd-g-nor-9000423001"
"IC1","1","74ABT125PW","","Исключен из перечня элементов","Исключен из платы","","https://www.chipdip.ru/product/74abt125pw-118-chetyre-bufernyh-elementa-drayvera-nexperia-9000771662"
"LCD1","1","LCD I2C module","","","","AutoWater:PLS-4","https://roboshop.spb.ru/display/simvolnye-displei/1602-konverter"
"MCU1","1","Arduino Nano","","","","AutoWater:Arduino Nano V3 Type C PBS",""
"P1","1","Pump","","","","AutoWater:Connector B2B-XH-A","https://roboshop.spb.ru/mechanics/pompy/small-water-pomp"
"Q1","1","BC817-25","","","","AutoWater:NPN transistor BC817-25","https://www.chipdip.ru/product/bc817-25-215-tranzistor-npn-45v-0.5a-0.31vt-sot-23-nexperia-113261264"
"R1","1","10K","","","","AutoWater:Resistor Rohm SMD 0603","https://www.chipdip.ru/product/esr03ezpf1002-rohm-8009610226"
"R2,R3,R4,R5","4","3.3K","","","","AutoWater:Resistor Yageo SMD 0805","https://www.chipdip.ru/product/rc0805fr-103k3l-yageo-8002004125"
"R6,R7,R8,R9","4","2.2K","","","","AutoWater:Resistor Yageo SMD 1206","https://www.chipdip.ru/product/ac1206jr-072k2l-yageo-8002030474"
"R10,R11,R12,R13,R14,R15,R16,R17","8","150R","","","","AutoWater:Resistor Yageo SMD 1206","https://www.chipdip.ru/product/ac1206fr-07150rl-yageo-8002025520"
"REG1","1","74HC164","","","","AutoWater:Register 74HC164M SOP-14","https://www.chipdip.ru/product/74hc164m-tr-8-bit-posledovatelnyy-sdvigovyy-registr-hgsemi-9001240838"
"RTC1","1","DS1307","","","","AutoWater:RTC DS1307 DIP","https://roboshop.spb.ru/radio/mikroskhemy/real-time-clock/ds1307"
"RV1,RV2","2","Moisture","","","","AutoWater:PLS-3",""
"SD1","1","Micro SD connector","","","","AutoWater:MicroSD","https://www.circuitstate.com/tutorials/interfacing-catalex-micro-sd-card-module-with-arduino/"
"STB1","1","5V","","","","AutoWater:Stabilizer 5V AMS1117-5.0S SMD","https://www.chipdip.ru/product/ams1117-5.0s-stabilizator-napryazheniya-5v-1a-sot-89-umw-9001333446"
"SW1,SW2","2","Button","","","","AutoWater:PLS-2",""
"Y1","1","32.768 kHz","","","","AutoWater:Crystal 32768 SMD","https://www.chipdip.ru/product/smd-rezonator-kse-7r32768kdy2400a3-keen-side-9001296748"
